Slide #,Mount Date,Subject,Slide Mount Notation,Scanned,
193,,,,,
194,Feb-65,,,,
195,Feb-65,,,,
196,Feb-65,,,,
197,Apr-65,,,,
198,Feb-65,half frame.  End of roll?,,,
199,Feb-65,,,,
200,Apr-65,looking up the hill toward garden from future antique gate location,,,
201,Jun-66,Mt. Hood,,X,
202,Jun-66,sign,,X,
203,Apr-67,sign,Stone Bridge came from near this area,X,
204,,small arrangement by Tono between flat garden and arbor.  Removed later,,X,
205,May-65,,Canon Beach Robinson family,X,
206,May-65,,Peter Snell grandson,X,
207,,,Indian Beach pebbles from here,X,
208,Apr-66,,Robinson home,X,
209,Apr-66,,Robinson home,X,
210,Apr-66,,Peter Snell   Robinson home,X,
211,Apr-66,,Robinson home,X,
212,Apr-65,lake?   Gorge?,,X,
213,Apr-65,lake?   Gorge?,,,
214,Apr-65,lake?   Gorge?,,,
215,Apr-66,San Francisco Japanese Garden,SF,,
216,Apr-66,San Francisco Japanese Garden,SF,,
217,Apr-66,San Francisco Japanese Garden,SF,,
218,Apr-66,San Francisco Japanese Garden,SF,,
219,Apr-66,San Francisco Japanese Garden,SF,,
220,Apr-66,San Francisco Japanese Garden,SF,,
221,Apr-66,San Francisco Japanese Garden,SF,,
222,Apr-66,San Francisco Japanese Garden,SF,,
223,Apr-66,San Francisco Japanese Garden,SF,,
224,Apr-66,San Francisco Japanese Garden,SF,,
225,Apr-66,San Francisco Japanese Garden,SF,,
226,May-66,garden scene,Oakland,,
227,May-66,garden scene,Oakland,,
228,May-66,garden scene,Oakland,,
229,May-66,garden scene,Oakland,,
230,,beach scene,Carmel,,
231,,Sand & stone garden wall base.  Stones from Columbia Gorge highway walls that were being taken out for I-84.  (near Shellrock & Starvation falls area)  Buddha came from here too.,,X,
232,Apr-66,According to Tono:  Man and Woman stone arrangement - taller and smaller.,,X,
233,Nov-65,Looking at water basin area with entry gate to left and restroom to right.  Some of trees killed when tractor oil line broke.,,X,
234,Nov-65,restroom wall with cobbles,,X,
235,Nov-65,,,X,
236,,,Restroom wall    Nov 1965,X,
237,Nov-65,edge of upper pond near Peace Lantern,above pond,X,
238,Nov-65,pond edge built 2' higher than water to avoid overfill as required by city,,X,
239,Nov-65,,Flat Garden,X,
240,Nov-65,,,X,
241,Nov-65,"white crushed granite from Ashland.  Was too shiny (mica?) full of ""glitter. It would almost blind you"",  Wanted to show people what they wanted to do.  Bill deWeese paid to bring white granite in from Japan.  Threw away when Japan gravel came in.",,X,
242,Mar-67,,1967,X,
243,Apr-66,,Flat Garden,X,
244,,Wet Heron Lantern donated by Schnitzers,Flat Garden,X,
245,,flat garden pointed azalea/yew  hedge  ,,X,
246,,,Flat Garden,X,
247,,Crabapple (on right) planted for fast growth and color.  Flat garden was over planted to fill it up sooner.,,X,
248,Apr-66,small pines around rock islands,,X,
249,,arbor and heavenly falls structure.  Rocks in background from bear dens.  Tono selected a few for use and buried the rest in hillside.  Original tree left of pagoda is a Mt. Fuji cherry later moved to the right of the pagoda.,,X,
250,,Gunnite walls.  Gravel from Japan.,,X,
251,Apr-65,donated maples/plants,,X,
252,Jun-66,,Robinson home,X,
253,Jun-66,,Robinson home,X,
254,Jun-66,,Robinson home,X,
255,Jun-66,,Don Snell  Peter Snell grandson,X,
256,,,"Seattle, WA",X,
257,,,Fred Clyde.  Tono,X,
258,,,Clyde      Tono,X,
259,,,1st gardener   Kenya Hiro,X,
260,,,,X,
261,,Cub stones came from Wapanita Pass near Warm Springs.,,X,
262,,,,X,
263,,,,X,
264,,Heavenly Falls construction,,X,
265,,,,X,
266,,unloading stones.  Wilhelm Trucking donated delivery,,X,
267,,,,X,
268,,"Jerry Robertson (driver), Clyde, Tono",,X,
269,,,,X,
270,,selected stones from the hillside  bear den.  Heavenly Falls foundation.,,X,
271,,upper pond out of picture on right,,X,
272,,,,X,
273,,Hill side above upper pond.  Pinus contorta purchased from nursery in Beaverton.,,X,
274,,looking down toward upper pond from near entry gate.  Big leaf maple.,,X,
275,,azalea and sedum.,,X,
276,,,,X,
277,,Cornus kousa,,X,
278,,Bob Snodgrass (SevenDees Nursery) donated wisteria.,,X,
279,,falls into upper pond,,X,
280,,,,X,
281,,upper pond stones,,X,
282,,"Nels Ekloff, Fred Clyde",,X,
283,,Tono placed stones along edge of pond.  sewer line under pond to collect water from leaks or overflow.,stones along pond,X,
284,,stream bed looking down to lower pond,,X,
285,,stepping stone bridge across stream.  Replaced after older visitor fell into stream.,,X,
286,,koto Lantern.  Story: one of the legs was broken hence the water-land placement.,,X,
287,,,,X,
288,,stones were not mortared.  Often moved by kids sneaking into garden.,Sand & Stone Garden   Buddha & 7 tigers,X,
289,Aug-79,Jerry worked as gardener and Steve worked in ticket office.,Jerry White  Steve White  gardener in garden    ticket office,X,
290,,in flat garden.  Stolen after about a week.  Donated by a Japanese boatwork.,wooden lantern    (stolen),X,
291,,,training Japanese cherry,X,
292,,Japanese garden scene,Seattle,,
293,,Japanese garden scene,Seattle,,
294,,Japanese garden scene,Seattle,,
295,,Japanese garden scene,Seattle,,
296,,Japanese garden scene,Seattle,,
297,,Japanese garden scene,Seattle,,
298,,Japanese garden scene,Seattle,,
299,,Japanese garden scene,Seattle,,
300,,Japanese garden scene,Seattle,,
301,,Japanese garden scene,Mt. Baker,,
302,,Japanese garden scene,"New Westminster, BC",,
303,,Japanese garden scene,"New Westminster, BC",,
304,,Japanese garden scene,"New Westminster, BC",,
305,,Japanese garden scene,"New Westminster, BC",,
306,,Japanese garden scene,"New Westminster, BC",,
307,,Japanese garden scene,"New Westminster, BC",,
308,,Japanese garden scene,Tacoma,,
309,,Japanese garden scene,Tacoma,,
310,,Entry gate construction. Tono designed it.  George Moore (director & builder) built it.,,X,
311,,Old gentleman hired to clean cobbles,,X,
312,,entry gate construction ,,X,
313,,area between flat garden and arbor.  Later removed.,,X,
314,,area between flat garden and arbor.  Later removed.,,X,
315,,,,X,
316,,upper pond with ship rock on right side.  Black pebbles collect by Robbie from Or. Beach.,Empty pond,X,
317,,Mt. Fuji cherry  on left before being moved to right of lantern.  ,Sapporo lantern,X,
318,,divider placed in stream to narrow width and create more space for the iris.  Iris planted between stream and side walk.,Robinson,X,
319,,Hokkaido stones came from Sandy River near Dodge Park.,Sapporo lantern,X,
320,,Sapporo lantern,,X,
321,Apr-67,Sapporo lantern,,X,
322,Mar-67,cherry trees above lower pond,,X,
323,Mar-67,new iris bed,,X,
324,Apr-67,Sapporo lantern,,X,
325,Apr-67,flat garden.  Cherry tree training bamboo,,X,
326,Apr-67,new iris bed,,X,
327,,stones were not mortared.  Often moved by kids sneaking into garden.,,X,
328,Apr-67,upper pond falls,Small falls,X,
329,,Building moon bridge,,X,
330,,Building moon bridge,,X,
331,Mar-67,Building moon bridge,,X,
332,Apr-67,Building moon bridge,,X,
333,Apr-67,Building moon bridge,,X,
334,,the kids standing on moon bridge,67      the kids,X,
335,Mar-64,,"Bill Robinson moving Japanese maple     Florence Avery, box 318, Tualatin, OR",X,
336,,"Brought Mr. Kato, a city gardener who spoke fluent Japanese, in to help Prof. Tono communicate.  Hugh Shogren.","Hugh Shogren, Jack Kato, Tono",X,
337,,"Heavenly Falls construction.  Tono, Shogren, and Hira.  Kato on right.",,X,
338,,Iris donated by nursery in Boring.,,X,
339,,cedars going up the falls.,,X,
340,,Heavenly Falls construction,"Shrine Falls, Heavenly Waterfalls, Milky Way",X,
341,,Heavenly Falls construction,,X,
342,,Heavenly Falls construction,,X,
343,,,67   City Crane moving stones,X,
344,,67   City Crane moving stones,,X,
345,,bridge guardian stone.  Tono supervising stone setting.,,X,
346,,Tono supervising placement of stone.,,X,
347,,Tono supervising placement of stone.,,X,
348,,Robbie liked this photo of how stones were placed.,Placement of stones,X,
349,,moon bridge looking toward upper pond,,X,
350,,pagoda,1967,X,
351,,Robbie posing at pagoda,,X,
352,,,Sand & Stone Garden     67,X,
353,,nearly complete entry gate,front side,X,
354,,nearly complete entry gate,,X,
355,,nearly complete entry gate.  Trough was filled with pebbles to catch water from roof.,,X,
356,,,,X,
357,,,Flat Garden    fall,X,
358,,flat garden in fall,,X,
359,,flat garden in fall,,X,
360,,stone bridge  flat garden,,X,
361,,,11-67    Japanese  (maple),X,
362,,,Stone bridge in Flat Garden   11-67,X,
363,,,,X,
364,,,,X,
365,,Peace Lantern,Old lantern from Washington Park,X,
366,,,,X,
367,,,,X,
368,,Snow in garden pictures,,X,
369,,Snow in garden pictures,Entrance Building,X,
370,,Snow in garden pictures,,X,
371,,Snow in garden pictures,,X,
372,,Snow in garden pictures,,X,
373,,Snow in garden pictures,,X,
374,,Snow in garden pictures,,X,
375,,Snow in garden pictures,,X,
376,,Snow in garden pictures,,X,
377,,Snow in garden pictures,,X,
378,,Snow in garden pictures,,X,
379,,Snow in garden pictures,,X,
380,,Snow in garden pictures,,X,
381,,Snow in garden pictures,,X,
382,,Snow in garden pictures,,X,
383,,Snow in garden pictures,,X,
384,,Snow in garden pictures,,X,
385,,Snow in garden pictures,,X,
386,,Snow in garden pictures,,X,
387,,Snow in garden pictures,,X,
388,,Snow in garden pictures,,X,
389,,Snow in garden pictures,,X,
390,,Snow in garden pictures,Buddha & 7 Tiger cubs,X,
391,,Snow in garden pictures,,X,
392,,Snow in garden pictures,,X,
393,,Snow in garden pictures,,X,
394,,Snow in garden pictures,,X,
395,,tea house construction in snow,,X,
396,Jan-68,Mt. Hood. Future site of pavilion.  Bags of Kyoto gravel.  Three birch trees planted and removed later.  ,68,X,
397,Jan-68,flat garden with Kyoto river gravel in bags in background,68,X,
398,,Sapporo lantern,Mar.   68,X,
399,,cherry tree and Sapporo lantern,Mar.   68   Japanese cherry,X,
400,,Heavenly falls before lower pond filled,Mar.   68,X,
401,Jan-68,,,,
402,,,Japanese maple,X,
403,,Sand & stone garden,Mar-68,X,
404,Jan-68,Tea house construction.  ,68,X,
405,Jan-68,Kenya Hira (left) & carpenter (local?),Mar-68,X,
406,Jan-68,Tea house construction.  ,68,X,
407,Jan-68,Tea house construction.  ,68,X,
408,Apr-68,,68   Flat Garden,X,
409,Apr-68,,68,X,
410,Apr-68,,Apr-68,X,
411,Apr-68,,Apr-68,X,
412,Apr-68,,Apr-68,X,
413,Apr-68,,,X,
414,Jun-68,,,X,
415,Jun-68,,,X,
416,Jun-68,,,X,
417,Jun-68,,,X,
418,Jun-68,,,X,
419,Jun-68,,68   Prof Tono  Tea Garden,X,
420,Jun-68,,Kenya & John  bent over,X,
421,Jun-68,,,X,
422,Jun-68,,,X,
423,Jun-68,,,X,
424,Jun-68,,Dianthus,X,
425,Jun-68,,,X,
426,Jun-68,,,X,
427,Jun-68,,Christian Lantern    Catholic Virgin Mary,X,
428,Jun-68,,,X,
429,Jun-68,Dedication Phil Englehart,,X,
430,Jun-68,Dedication Phil Englehart,,X,
431,Jun-68,Dedication Phil Englehart,,X,
432,Jun-68,Dedication Phil Englehart,Prof. Tono,X,
433,Jun-68,Dedication Phil Englehart,"Mayor Terry Shrunk, Prof. P.T. Tono.  Dedication Phil Englehart",X,
434,Jun-68,Dedication Phil Englehart,,X,
435,Jun-68,Dedication Phil Englehart,,X,
436,Jun-68,Dedication Phil Englehart,,X,
437,Jun-68,Dedication Phil Englehart,,X,
438,Jun-68,Dedication Phil Englehart,,X,
439,Jun-68,Dedication Phil Englehart,Prof. Tono,X,
440,Aug-68,,,X,
441,Jul-68,,,X,
442,Aug-68,,,X,
443,Jul-68,,,X,
444,Aug-68,,Ceremonial Tea House,X,
445,Jul-68,,,X,
446,Aug-68,,,X,
447,Jul-68,,,X,
448,,,,X,
449,Jul-68,,,X,
450,,,,X,
451,,,,X,
452,,,,X,
453,,,,X,
454,,,,X,
455,,,,X,
456,,,,X,
457,,,,X,
458,,,,X,
459,Oct-68,,,X,
460,Oct-68,,,X,
461,Dec-68,"""Japanese Garden""  sign.  Snow",,X,
462,Dec-68,garden scens with snow,,X,
463,Dec-68,garden scens with snow,,X,
464,Dec-68,garden scens with snow,,X,
465,Dec-68,garden scens with snow,,X,
466,Dec-68,garden scens with snow,,X,
467,Dec-68,garden scens with snow,,X,
468,Dec-68,garden scens with snow,,X,
469,Dec-68,garden scens with snow,,X,
470,Dec-68,garden scens with snow,,X,
471,Dec-68,garden scens with snow,,X,
472,Dec-68,garden scens with snow,,X,
473,Dec-68,garden scens with snow,,X,
474,Dec-68,garden scens with snow,,X,
475,Dec-68,garden scens with snow,"Pinus sylvesteri,    Scotch pine",X,
476,Dec-68,garden scens with snow,,X,
477,Dec-68,garden scens with snow,Japanese maple,X,
478,Dec-68,garden scens with snow,,X,
479,Dec-68,garden scens with snow,,X,
480,Dec-68,garden scens with snow,,X,
481,Dec-68,garden scens with snow,,X,
482,Dec-68,garden scens with snow,,X,
483,Dec-68,garden scens with snow,,X,
484,Dec-68,garden scens with snow,,X,
485,Dec-68,garden scens with snow,,X,
486,Dec-68,garden scens with snow,,X,
487,Dec-68,garden scens with snow,,X,
488,Dec-68,garden scens with snow,,X,
489,Dec-68,garden scens with snow,,X,
490,Dec-68,garden scens with snow,,X,
491,Dec-68,garden scens with snow,Japanese maple,X,
492,Dec-68,garden scens with snow,Ceremonial Tea House,X,
493,Dec-68,garden scens with snow,,X,
494,Dec-68,garden scens with snow,,X,
495,Dec-68,garden scens with snow,,X,
496,Dec-68,garden scens with snow,,X,
497,Dec-68,garden scens with snow,,X,
498,Dec-68,garden scens with snow,,X,
499,Dec-68,garden scens with snow,,X,
500,Dec-68,garden scens with snow,,X,
501,,garden scens with snow,,X,
502,,garden scens with snow,,X,
503,,garden scens with snow,,X,
504,,garden scens with snow,,X,
505,,garden scens with snow,1969,X,
506,,garden scens with snow,,X,
507,,,"Seattle Japanese Garden,  1969",,
508,,,"Seattle Japanese Garden,  1969",,
509,,,"Seattle Japanese Garden,  1969",,
510,,,"Seattle Japanese Garden,  1969",,
511,,garden scens with snow,,X,
512,,garden scens with snow,,X,
513,,garden scens with snow,,X,
514,,garden scens with snow,,X,
515,,garden scens with snow,,X,
516,,garden scens with snow,,X,
517,,garden scens with snow,,X,
518,Apr-69,garden scens with snow,,X,
519,,garden scens with snow,Jan-69,X,
520,,garden scens with snow,,X,
521,,garden scens with snow,,X,
522,,garden scens with snow,,X,
523,,garden scens with snow,,X,
524,,garden scens with snow,Bus poster 1970,X,
525,,garden scens with snow,,X,
526,,garden scens with snow,,X,
527,,garden scens with snow,,X,
528,,garden scens with snow,,X,
529,,Tea house in snow,,X,
530,,garden scens with snow,,X,
531,,garden scens with snow,,X,
532,,garden scens with snow,Cranes in snow,X,
533,,,,X,
534,,,,X,
535,,,,X,
536,,,,X,
537,,,,X,
538,,,,X,
539,,,,X,
540,,,,X,
541,Sep-69,,Temple off 35th & Powell,X,
542,Sep-69,,Temple off 35th & Powell,X,
543,Sep-69,,,X,
544,Sep-69,,,X,
545,Sep-69,,,X,
546,,,,X,
547,Sep-69,,"Moss, mist",X,
548,Sep-69,,Faith Mackness,X,
549,,,,X,
550,Sep-69,,Oct-69,X,
551,Sep-69,,"Bill Robinson & Prof. P.T. Tono    Oct., 69",X,
552,,,Oct-69,X,
553,,,,X,
554,,,,X,
555,,,,X,
556,,,,X,
557,,,Dr. Tono,X,
558,,,,X,
559,,,,X,
560,,,"Prof. Tono & helpers:  Prof. Tono, Jack Kato, John Kirisu",X,
561,,,,X,
562,,,,X,
563,,,,X,
564,,,,X,
565,,,,X,
566,,,Oct. 69   Stone water basin,X,
567,,,,X,
568,,,,X,
569,,,was bus poster    Rose City Transit,X,
570,Oct-69,,pond,X,
571,Oct-69,,,X,
572,,Faith Mackness,,X,
573,,,,X,
574,,Faith Mackness,,X,
575,,,,X,
576,,,"Dec., 69",X,
577,,,"Dec., 69",X,
578,,,"Dec., 69",X,
579,,,"Dec., 69",X,
580,,,"Dec., 69",X,
581,,,"Dec., 69.   Tombstone Lantern  Natural Garden",X,
